Year,Number,Ticker,Company
2022,"164,000",AAPL,Apple Inc.
2021,"154,000",AAPL,Apple Inc.
2020,"147,000",AAPL,Apple Inc.
2019,"137,000",AAPL,Apple Inc.
2018,"132,000",AAPL,Apple Inc.
2017,"123,000",AAPL,Apple Inc.
2016,"116,000",AAPL,Apple Inc.
2015,"110,000",AAPL,Apple Inc.
2014,"97,000",AAPL,Apple Inc.
2013,"84,400",AAPL,Apple Inc.
2012,"76,100",AAPL,Apple Inc.
2011,"63,300",AAPL,Apple Inc.
2010,"49,400",AAPL,Apple Inc.
2009,"36,800",AAPL,Apple Inc.
2022,"221,000",MSFT,Microsoft Corporation
2021,"181,000",MSFT,Microsoft Corporation
2020,"163,000",MSFT,Microsoft Corporation
2019,"144,000",MSFT,Microsoft Corporation
2018,"131,000",MSFT,Microsoft Corporation
2017,"124,000",MSFT,Microsoft Corporation
2016,"114,000",MSFT,Microsoft Corporation
2015,"118,000",MSFT,Microsoft Corporation
2014,"128,000",MSFT,Microsoft Corporation
2013,"99,000",MSFT,Microsoft Corporation
2012,"94,000",MSFT,Microsoft Corporation
2011,"90,000",MSFT,Microsoft Corporation
2010,"89,000",MSFT,Microsoft Corporation
2009,"93,000",MSFT,Microsoft Corporation
2022,"190,234",GOOGL,Alphabet Inc.
2021,"156,500",GOOGL,Alphabet Inc.
2020,"135,301",GOOGL,Alphabet Inc.
2019,"118,899",GOOGL,Alphabet Inc.
2018,"98,771",GOOGL,Alphabet Inc.
2017,"80,110",GOOGL,Alphabet Inc.
2016,"72,053",GOOGL,Alphabet Inc.
2015,"61,814",GOOGL,Alphabet Inc.
2014,"53,600",GOOGL,Alphabet Inc.
2013,"47,756",GOOGL,Alphabet Inc.
2012,"53,861",GOOGL,Alphabet Inc.
2011,"32,467",GOOGL,Alphabet Inc.
2010,"24,400",GOOGL,Alphabet Inc.
2009,"19,835",GOOGL,Alphabet Inc.
2022,"1,541,000",AMZN,"Amazon.com, Inc."
2021,"1,608,000",AMZN,"Amazon.com, Inc."
2020,"1,298,000",AMZN,"Amazon.com, Inc."
2019,"798,000",AMZN,"Amazon.com, Inc."
2018,"647,500",AMZN,"Amazon.com, Inc."
2017,"566,000",AMZN,"Amazon.com, Inc."
2016,"341,400",AMZN,"Amazon.com, Inc."
2015,"230,800",AMZN,"Amazon.com, Inc."
2014,"154,100",AMZN,"Amazon.com, Inc."
2013,"117,300",AMZN,"Amazon.com, Inc."
2012,"88,400",AMZN,"Amazon.com, Inc."
2011,"56,200",AMZN,"Amazon.com, Inc."
2010,"33,700",AMZN,"Amazon.com, Inc."
2009,"24,300",AMZN,"Amazon.com, Inc."
2022,"22,473",NVDA,NVIDIA Corporation
2021,"18,975",NVDA,NVIDIA Corporation
2020,"13,775",NVDA,NVIDIA Corporation
2019,"13,277",NVDA,NVIDIA Corporation
2018,"8,191",NVDA,NVIDIA Corporation
2017,"10,299",NVDA,NVIDIA Corporation
2016,"9,227",NVDA,NVIDIA Corporation
2015,"9,228",NVDA,NVIDIA Corporation
